time,open,high,low,close,Volume,Volume MA
1758301500,43.19,43.2,43.1,43.2,928,3319.25
1758301800,43.21,43.23,43.19,43.22,513,3099.1
1758302100,43.19,43.23,43.17,43.19,1073,2719.9
1758302400,43.19,43.19,43.06,43.1,2120,2715.55
1758302700,43.1,43.19,43.1,43.19,1813,1713.4
1758303000,43.21,43.27,43.21,43.27,572,1654.6
1758303300,43.27,43.35,43.27,43.35,961,1580.95
1758303600,43.34,43.34,43.29,43.34,619,1583
1758303900,43.36,43.4,43.36,43.4,713,1515.65
1758304200,43.42,43.43,43.3,43.33,831,1457.1
1758304500,43.3,43.33,43.29,43.32,307,1346.6
1758304800,43.31,43.31,43.24,43.255,2767,1278.25
1758305100,43.22,43.29,43.15,43.29,1985,1324
1758305400,43.305,43.305,43.26,43.26,405,1234.6
1758305700,43.29,43.34,43.275,43.28,1697,1305.15
1758306000,43.39,43.6,43.39,43.57,1930,1379.1
1758306300,43.64,43.64,43.51,43.56,1782,1335.6
1758306600,43.575,43.6,43.43,43.6,2915,1391.95
1758306900,43.54,43.65,43.54,43.65,606,1271.25
1758307200,43.59,43.61,43.54,43.57,1302,1291.95
1758307500,43.57,43.58,43.53,43.58,703,1280.7
1758307800,43.59,43.63,43.56,43.57,505,1280.3
1758308100,43.56,43.61,43.53,43.61,1539,1303.6
1758308400,43.62,43.62,43.31,43.39,4594,1427.3
1758308700,43.39,43.53,43.37,43.5,962,1384.75
1758309000,43.47,43.59,43.4,43.59,798,1396.05
1758309300,43.45,43.59,43.45,43.56,434,1369.7
1758309600,43.56,43.56,43.42,43.48,2643,1470.9
1758309900,43.48,43.5,43.44,43.5,713,1470.9
1758310200,43.465,43.55,43.465,43.49,1295,1494.1
1758310500,43.5,43.56,43.5,43.56,2899,1623.7
1758310800,43.51,43.53,43.44,43.5,5566,1763.65
1758311100,43.49,43.5,43.36,43.46,4700,1899.4
1758311400,43.4,43.41,43.3,43.345,9359,2347.1
1758311700,43.35,43.45,43.11,43.16,15931,3058.8
1758547800,43.01,43.08,42.53,42.69,9058,3415.2
1758548100,42.71,42.86,42.55,42.55,8759,3764.05
1758548400,42.55,42.78,42.55,42.7,1518,3694.2
1758548700,42.84,42.95,42.78,42.9,3722,3850
1758549000,42.875,42.875,42.8,42.81,306,3800.2
1758549300,42.94,43,42.9,43,525,3791.3
1758549600,43,43,42.81,42.82,889,3810.5
1758549900,42.84,43.01,42.8,43.01,5807,4023.9
1758550200,43.02,43.23,43.01,43.23,6498,4119.1
1758550500,43.21,43.21,43.18,43.18,194,4080.7
1758550800,43.19,43.29,43.12,43.29,5543,4317.95
1758551100,43.32,43.39,43.32,43.32,842,4338.35
1758551400,43.19,43.19,43.11,43.12,897,4251.05
1758551700,43.1,43.1,42.93,43.065,1501,4290.45
1758552000,43.01,43.14,43,43.13,4613,4456.35
1758552300,43.09,43.16,43.09,43.16,1016,4362.2
1758552600,43.17,43.2,43.01,43.01,1254,4146.6
1758552900,43.02,43.02,43.02,43.02,400,3931.6
1758553200,43.02,43.02,43.01,43.01,251,3476.2
1758553500,43,43.15,42.98,43.15,3870,2873.15
1758553800,43.08,43.08,43.08,43.08,100,2425.25
1758554100,43.13,43.19,43.06,43.17,1342,2054.4
1758554400,43.18,43.23,43.11,43.11,1586,2057.8
1758554700,43.15,43.27,43.13,43.24,1918,1967.6
1758555000,43.25,43.36,43.25,43.36,1466,2025.6
1758555300,43.38,43.595,43.38,43.56,2284,2113.55
1758555600,43.68,44.04,43.68,43.96,14996,2818.9
1758555900,43.95,44.26,43.95,44.14,8013,2929.2
1758556200,44.15,44.24,44.065,44.09,731,2640.85
1758556500,44.14,44.36,44.14,44.21,2890,2775.65
1758556800,44.28,44.38,44.28,44.36,4471,2722.05
1758557100,44.39,44.4,44.25,44.25,1276,2743.75
1758557400,44.25,44.29,44.08,44.08,987,2748.25
1758557700,44.14,44.15,44.07,44.1,756,2711
1758558000,44.09,44.1,43.97,43.97,3659,2663.3
1758558300,44.08,44.08,44.02,44.02,218,2623.4
1758558600,44.06,44.17,44,44.17,2423,2681.85
1758558900,44.16,44.16,44.04,44.12,642,2693.95
1758559200,44.08,44.12,43.99,44.01,325,2697.65
1758559500,43.97,43.98,43.89,43.89,114,2509.85
1758559800,43.88,44.14,43.88,44.14,1844,2597.05
1758560400,44.075,44.16,44.075,44.16,1423,2601.1
1758560700,44.19,44.19,44.1,44.11,126,2528.1
1758561000,44.04,44.05,43.85,43.85,2785,2571.45
1758561300,43.85,43.85,43.82,43.82,513,2523.8
1758561600,43.81,43.83,43.8,43.82,403,2429.75
1758561900,43.825,43.91,43.825,43.91,1202,1740.05
1758562200,43.92,44,43.92,43.94,418,1360.3
1758562500,43.9,43.9,43.9,43.9,1,1323.8
1758563100,43.885,43.94,43.885,43.94,200,1189.3
1758563400,43.9,43.9,43.85,43.85,198,975.65
1758563700,43.89,43.93,43.89,43.93,418,932.75
1758564000,43.87,43.97,43.82,43.88,1808,973.8
1758564300,43.82,43.83,43.82,43.83,2,936.1
1758564600,43.85,44,43.85,44,1122,809.25
1758564900,44,44,43.83,43.85,204,808.55
1758565200,43.88,43.88,43.7,43.7,5593,967.05
1758565500,43.68,43.695,43.64,43.64,106,940.25
1758565800,43.71,43.71,43.71,43.71,100,929
1758566100,43.76,43.76,43.71,43.71,152,930.9
1758566400,43.7,43.73,43.5,43.5,724,874.9
1758566700,43.48,43.63,43.46,43.58,930,850.25
1758567000,43.57,43.57,43.54,43.54,503,869.1
1758567300,43.51,43.6,43.49,43.6,315,745.6
1758567600,43.5,43.5,43.45,43.49,420,740.95
1758567900,43.46,43.5,43.46,43.49,536,747.6
1758568200,43.495,43.65,43.495,43.63,865,730.75
1758568500,43.62,43.69,43.53,43.67,3354,877.55
1758568800,43.71,43.85,43.71,43.85,233,889.15
1758569100,43.73,43.76,43.715,43.75,751,916.7
1758569400,43.75,43.86,43.7,43.7,2160,1014.8
