time,open,high,low,close,Volume,Volume MA
1763476200,405.3,405.5,405.18,405.32,1118,NaN
1763476201,405.385,405.65,405.15,405.3,2216,NaN
1763476202,405.85,406.05,405.14,405.33,1091,NaN
1763476203,405.93,406.1,405.26,405.65,681,NaN
1763476204,406,406.43,405.335,406.43,166,NaN
1763476205,405.94,406.33,405.38,406,1097,NaN
1763476206,405.85,406.88,405.72,406,1644,NaN
1763476207,406.08,407.08,405.89,406.78,3258,NaN
1763476208,406.88,407.05,406.54,406.59,2369,NaN
1763476209,406.71,407.1,406.5,406.96,1641,NaN
1763476210,406.915,406.915,406.75,406.75,187,NaN
1763476211,406.67,406.67,406.65,406.67,250,NaN
1763476212,406.89,407.07,406.76,407.07,378,NaN
1763476213,407,407.38,407,407.38,1148,NaN
1763476214,406.88,407.28,406.88,407.28,371,NaN
1763476215,407.25,407.25,407.25,407.25,50,NaN
1763476217,407.15,407.2,406.82,407.15,2834,NaN
1763476218,406.96,406.96,406.94,406.94,110,NaN
1763476219,406.91,406.91,406.91,406.91,30,NaN
1763476220,406.6,406.84,406.36,406.65,1615,1112.7
1763476221,406.6,406.75,406.6,406.75,50,1059.3
1763476222,406.72,407.03,406.72,407.01,478,972.4
1763476223,407.16,407.16,406.98,407.11,49,920.3
1763476224,407.19,407.19,407.09,407.09,497,911.1
1763476225,406.93,406.93,406.93,406.93,10,903.3
1763476226,407.15,407.32,407.13,407.32,661,881.5
1763476227,407.08,407.2,407.04,407.2,180,808.3
1763476228,407.22,407.51,407.22,407.5,1393,715.05
1763476229,407.39,407.71,407.39,407.61,234,608.3
1763476230,407.5,407.5,407.12,407.2,255,539
1763476231,407.3,407.5,407.3,407.46,3006,679.95
1763476232,407.12,407.15,406.73,406.73,2142,774.55
1763476234,406.89,406.89,406.825,406.825,40,757.65
1763476235,406.89,406.89,406.89,406.89,1,700.3
1763476236,406.64,406.82,406.52,406.82,489,706.2
1763476237,406.57,406.57,406.52,406.52,1730,790.2
1763476238,406.29,406.29,406.24,406.28,42,650.6
1763476239,406.13,406.13,406.13,406.13,100,650.1
1763476240,406.06,406.19,405.9,405.9,453,671.25
1763476241,406.04,406.16,406.03,406.1,619,621.45
1763476242,405.99,405.99,405.75,405.75,678,652.85
1763476243,405.5,405.59,405.49,405.58,412,649.55
1763476244,405.55,405.58,405.38,405.4,576,675.9
1763476245,405.35,405.35,405.3,405.3,28,652.45
1763476246,405.5,405.65,405.5,405.52,1410,722.45
1763476247,405.41,405.46,405.41,405.46,151,696.95
