time,open,high,low,close,Volume,Volume MA
2025-11-18T02:54:00Z,91180,91180,91180,91180,1,6.25
2025-11-18T02:55:00Z,91175,91175,91140,91140,2,5.6
2025-11-18T02:56:00Z,91030,91085,91025,91085,4,5.55
2025-11-18T02:57:00Z,91075,91075,91060,91060,3,5.45
2025-11-18T02:58:00Z,91000,91000,90860,90860,3,5.3
2025-11-18T02:59:00Z,90775,90930,90775,90885,11,5.55
2025-11-18T03:00:00Z,90900,90900,90655,90655,23,6.6
2025-11-18T03:01:00Z,90750,90750,90655,90670,12,7.15
2025-11-18T03:02:00Z,90605,90610,90405,90465,35,8.05
2025-11-18T03:03:00Z,90525,90550,90505,90505,3,8
2025-11-18T03:04:00Z,90435,90460,90380,90410,12,8.5
2025-11-18T03:05:00Z,90410,90705,90410,90705,33,10
2025-11-18T03:06:00Z,90580,90640,90570,90570,8,10.2
2025-11-18T03:07:00Z,90550,90565,90395,90395,6,9.35
2025-11-18T03:08:00Z,90300,90330,90300,90330,5,8.9
2025-11-18T03:09:00Z,90375,90465,90375,90465,2,8.9
2025-11-18T03:10:00Z,90450,90485,90450,90480,6,8.9
2025-11-18T03:11:00Z,90455,90510,90455,90475,7,9.2
2025-11-18T03:12:00Z,90445,90445,90400,90420,6,9.15
2025-11-18T03:14:00Z,90390,90420,90390,90415,4,9.3
2025-11-18T03:15:00Z,90475,90475,90475,90475,1,9.3
2025-11-18T03:16:00Z,90455,90505,90455,90495,3,9.35
2025-11-18T03:17:00Z,90505,90505,90505,90505,1,9.2
2025-11-18T03:18:00Z,90355,90480,90355,90480,4,9.25
2025-11-18T03:20:00Z,90415,90415,90415,90415,1,9.15
2025-11-18T03:21:00Z,90300,90300,90300,90300,1,8.65
2025-11-18T03:22:00Z,90290,90310,90220,90220,10,8
2025-11-18T03:23:00Z,90260,90325,90200,90200,11,7.95
2025-11-18T03:24:00Z,90175,90220,90125,90220,17,7.05
2025-11-18T03:25:00Z,90245,90245,90150,90175,10,7.4
2025-11-18T03:26:00Z,90175,90300,89995,90300,15,7.55
2025-11-18T03:28:00Z,90120,90155,90085,90130,5,6.15
2025-11-18T03:30:00Z,89965,90090,89845,89845,29,7.2
2025-11-18T03:31:00Z,89820,90190,89795,90170,13,7.55
2025-11-18T03:32:00Z,90140,90150,89945,89945,5,7.55
2025-11-18T03:33:00Z,89850,89980,89850,89950,10,7.95
2025-11-18T03:34:00Z,89960,89960,89720,89810,17,8.5
2025-11-18T03:35:00Z,89820,89895,89775,89895,15,8.9
2025-11-18T03:36:00Z,90005,90140,90005,90140,25,9.85
2025-11-18T03:37:00Z,90170,90300,90170,90240,16,10.45
2025-11-18T03:38:00Z,90290,90510,90290,90500,18,11.3
2025-11-18T03:39:00Z,90520,90725,90520,90710,16,11.95
2025-11-18T03:40:00Z,90660,90770,90660,90750,13,12.55
2025-11-18T03:41:00Z,90785,90955,90775,90830,41,14.4
2025-11-18T03:42:00Z,90775,90775,90625,90700,38,16.25
2025-11-18T03:43:00Z,90715,90750,90640,90640,34,17.9
2025-11-18T03:44:00Z,90680,90705,90680,90690,11,17.95
2025-11-18T03:45:00Z,90700,90765,90700,90765,7,17.75
2025-11-18T03:46:00Z,90745,90745,90665,90710,11,17.45
2025-11-18T03:47:00Z,90725,90940,90725,90940,13,17.6
2025-11-18T03:48:00Z,90935,90950,90855,90875,28,18.25
2025-11-18T03:49:00Z,90860,90945,90775,90780,15,18.75
2025-11-18T03:50:00Z,90785,90785,90720,90770,3,17.45
2025-11-18T03:51:00Z,90760,90760,90760,90760,1,16.85
2025-11-18T03:52:00Z,90790,90850,90790,90850,3,16.75
2025-11-18T03:53:00Z,90880,90945,90880,90945,3,16.4
2025-11-18T03:54:00Z,90860,90895,90830,90860,16,16.35
2025-11-18T03:55:00Z,90815,90815,90750,90765,3,15.75
2025-11-18T03:56:00Z,90820,90820,90820,90820,1,14.55
2025-11-18T03:57:00Z,90790,90805,90785,90785,4,13.95
2025-11-18T03:58:00Z,90860,90860,90840,90840,2,13.15
2025-11-18T03:59:00Z,90860,90915,90860,90915,10,12.85
2025-11-18T04:00:00Z,90910,90910,90865,90875,5,12.45
2025-11-18T04:01:00Z,90880,90880,90805,90805,2,10.5
2025-11-18T04:02:00Z,90760,90760,90735,90735,12,9.2
2025-11-18T04:03:00Z,90760,90795,90760,90795,3,7.65
2025-11-18T04:04:00Z,90725,90725,90625,90625,63,10.25
2025-11-18T04:05:00Z,90625,90690,90535,90535,8,10.3
2025-11-18T04:06:00Z,90490,90600,90490,90550,35,11.5
2025-11-18T04:07:00Z,90565,90565,90470,90480,31,12.4
2025-11-18T04:08:00Z,90430,90490,90430,90450,11,11.55
2025-11-18T04:09:00Z,90410,90410,90380,90380,7,11.15
2025-11-18T04:10:00Z,90330,90330,90330,90330,1,11.05
2025-11-18T04:11:00Z,90345,90395,90335,90370,10,11.5
2025-11-18T04:12:00Z,90320,90375,90300,90375,11,11.9
2025-11-18T04:13:00Z,90355,90395,90330,90330,17,12.6
2025-11-18T04:14:00Z,90330,90330,90275,90280,13,12.45
2025-11-18T04:15:00Z,90390,90390,90165,90165,16,13.1
2025-11-18T04:16:00Z,90225,90225,90105,90125,3,13.2
2025-11-18T04:17:00Z,90080,90085,89945,90045,12,13.6
2025-11-18T04:18:00Z,90055,90055,89940,89940,33,15.15
2025-11-18T04:19:00Z,90005,90090,89965,90090,12,15.25
2025-11-18T04:20:00Z,90130,90185,90000,90000,10,15.5
2025-11-18T04:21:00Z,90055,90075,89955,89955,6,15.7
2025-11-18T04:22:00Z,90055,90100,90040,90040,22,16.2
2025-11-18T04:23:00Z,90055,90175,90055,90160,8,16.45
2025-11-18T04:24:00Z,89975,90030,89960,90000,33,14.95
2025-11-18T04:25:00Z,89970,90120,89970,90090,6,14.85
2025-11-18T04:26:00Z,90020,90020,89950,89950,2,13.2
2025-11-18T04:27:00Z,89910,89910,89890,89890,2,11.75
2025-11-18T04:28:00Z,89930,89955,89920,89920,3,11.35
2025-11-18T04:29:00Z,89985,89985,89980,89980,2,11.1
2025-11-18T04:30:00Z,90000,90000,90000,90000,1,11.1
2025-11-18T04:31:00Z,89980,89980,89980,89980,1,10.65
2025-11-18T04:32:00Z,90015,90015,89900,89920,6,10.4
2025-11-18T04:33:00Z,90005,90050,89955,90045,15,10.3
2025-11-18T04:34:00Z,90110,90110,90025,90050,7,10
2025-11-18T04:35:00Z,90085,90140,90085,90120,7,9.55
2025-11-18T04:36:00Z,90080,90080,90005,90005,10,9.9
2025-11-18T04:37:00Z,89960,89960,89920,89920,4,9.5
2025-11-18T04:38:00Z,89980,89980,89980,89980,1,7.9
2025-11-18T04:39:00Z,89955,90010,89955,90010,4,7.5
2025-11-18T04:40:00Z,89985,89985,89985,89985,2,7.1
2025-11-18T04:41:00Z,89960,89960,89960,89960,2,6.9
2025-11-18T04:42:00Z,90030,90040,90030,90040,2,5.9
2025-11-18T04:43:00Z,90020,90080,90020,90080,2,5.6
2025-11-18T04:44:00Z,89905,89905,89845,89845,5,4.2
2025-11-18T04:45:00Z,89875,89925,89800,89800,11,4.45
2025-11-18T04:46:00Z,89795,89830,89795,89830,2,4.45
2025-11-18T04:47:00Z,89795,89795,89325,89640,62,7.45
2025-11-18T04:48:00Z,89735,89945,89635,89940,51,9.85
2025-11-18T04:49:00Z,89880,89905,89875,89875,3,9.9
2025-11-18T04:50:00Z,89850,89880,89525,89590,14,10.55
2025-11-18T04:51:00Z,89535,89685,89535,89655,3,10.65
2025-11-18T04:52:00Z,89590,89590,89575,89575,2,10.45
2025-11-18T04:53:00Z,89520,89520,89500,89500,2,9.8
2025-11-18T04:54:00Z,89555,89650,89555,89640,13,10.1
2025-11-18T04:55:00Z,89650,89700,89600,89700,30,11.25
2025-11-18T04:56:00Z,89770,89975,89745,89900,25,12
2025-11-18T04:57:00Z,89945,90060,89945,89995,31,13.35
2025-11-18T04:58:00Z,90025,90125,90020,90085,28,14.7
2025-11-18T04:59:00Z,90105,90130,90080,90080,5,14.75
2025-11-18T05:00:00Z,90090,90120,90060,90060,23,15.8
